"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"801","601766.SS","China South Locomotive","Shanghai",2008-08-21,2.6,"HKD","Priced",2008-08-18,3.86,3.45,2.906759,0.326923076923077,2008
"802","601669.SS","Sinohydro Group Ltd","Shanghai",2011-10-18,4.5,"CNY","Priced",2011-10-18,4.78,5.27,4.507137,0.171111111111111,2011
"803","GIAA.JK","PT Garuda Indonesia(Persero)","Jakarta",2011-02-11,750,"IDR","Priced",2011-02-11,614.968018,614.968018,614.968018,-0.180042642666667,2011
"804","2608.HK","Sunshine 100 China Holdings Lt","HKSE",2014-03-13,4,"HKD","Priced",2014-03-13,3.7,3.74,3.666917,-0.0649999999999999,2014
"805","NZZ.V","Nitinat Minerals Corp","TSXV",2009-11-03,0.4,"CAD","Priced",2012-07-04,1.5,1.5,1.5,2.75,2009
"806","NZZ.V","Nitinat Minerals Corp","TSXV",2009-11-03,0.6,"CAD","Priced",2012-07-04,1.5,1.5,1.5,1.5,2009
"807","ANELE.IS","Anel Elektrik Proje Taahhut ve","Istanbul",2010-06-16,5.3,"TRY","Priced",2010-06-16,2.24101,2.24101,2.107062,-0.577167924528302,2010
"808","2049.TW","Hiwin Technologies Corp","Taiwan",2009-06-26,24,"TWD","Priced",2007-12-31,130.968002,126.021004,108.270088,4.25087516666667,2009
"809","AMRT.JK","Sumber Alfaria Trijaya Tbk PT","Jakarta",2009-01-15,395,"IDR","Priced",2009-01-15,39.5,39.5,18.33617,-0.9,2009
"810","3576.TW","Neo Solar Power Corp","Taiwan",2009-01-12,20,"TWD","Priced",2009-01-12,29.194,31.5819,27.697313,0.579095,2009
"811","TRIO.JK","Trikomsel Oke Tbk PT","Jakarta",2009-04-14,225,"IDR","Priced",2018-06-26,2000,2000,2000,7.88888888888889,2009
"812","APN.WA","Aplisens SA","Warsaw",2009-05-07,6,"PLN","Priced",2010-02-25,7.97,7.96,6.861212,0.326666666666667,2009
"813","1320.SR","Saudi Steel Pipes Co Ltd","Saudi",2009-08-04,25,"SAR","Priced",2010-03-04,33.900002,35,31.132109,0.4,2009
"814","5OS.SI","JLJ Holdings Ltd","SI",2009-07-10,0.27,"SGD","Priced",2009-07-10,0.25858,0.25858,0.247099,-0.0422962962962965,2009
"815","KIAT.BK","Kiattana Transportation PCL","Thailand",2009-10-21,4.5,"THB","Priced",2009-10-21,0.46364,0.42,0.011276,-0.906666666666667,2009
"816","GOK.V","GINSMS Inc","TSXV",2009-12-17,0.15,"CAD","Priced",2018-11-06,0.1,0.1,0.1,-0.333333333333333,2009
"817","5OT.SI","Singapore Medical group Ltd","SI",2009-07-23,0.21,"SGD","Priced",2009-07-23,0.19833,0.22667,0.206772,0.0793809523809526,2009
"818","3607.TW","Coxon Precise Industrial Co","Taiwan",2009-10-28,65,"TWD","Priced",2008-01-28,80,70,39.338589,0.0769230769230769,2009
"819","PTPP.JK","Pembangunan Perumahan PT","Jakarta",2010-02-09,560,"IDR","Priced",2010-02-09,551.276001,551.276001,470.011566,-0.0155785696428572,2010
"820","2009.HK","Bbmg Corp","HKSE",2009-07-29,6.38,"HKD","Priced",2009-07-29,4.5,4.985,4.055364,-0.218652037617555,2009
"821","601888.SS","CITS","Shanghai",2009-10-15,11.78,"CNY","Priced",2009-10-15,8.055,8.54,7.529996,-0.275042444821732,2009
"822","3653.TW","Jentech Precision Industrial","Taiwan",2009-11-18,80,"TWD","Priced",2009-11-18,102.431,106.371002,75.680283,0.329637525,2009
